Zone,District,Urban_Rural,Total_Population,Male,Female,Literacy_Rate_Total,Literacy_Rate_Male,Literacy_Rate_Female,Literacy_Rate_Youth,Households_Total,Households_with_Electricity,Households_with_Radio,Households_with_TV,Households_with_Telephone,Electricity_Access_Rate,Radio_Access_Rate,TV_Access_Rate,Telephone_Access_Rate,Year,Internet_Access_Rate
Janakpur,Mahottari,Rural,131000,65500,65500,45,50,40,53,95000,24000,18000,3000,1500,25.26315789473684,18.947368421052637,3.1578947368421053,1.5789473684210529,2001,0.0
Janakpur,Mahottari,Rural,210000,105000,105000,57,63,51,74,42000,22000,20000,8000,5000,52.38095238095239,47.61904761904761,19.047619047619047,11.904761904761903,2011,6.0
Janakpur,Mahottari,Rural,289000,144500,144500,69,76,62,95,0,20000,22000,13000,8500,79.49874686716794,76.29072681704258,34.93734335839599,22.230576441102755,2021,11.8
Janakpur,Mahottari,Urban,61000,30500,30500,45,50,40,53,95000,24000,18000,3000,1500,25.26315789473684,18.947368421052637,3.1578947368421053,1.5789473684210529,2001,0.0
Janakpur,Mahottari,Urban,90000,45000,45000,64,70,58,80,18000,15000,7000,9500,6000,83.33333333333334,38.888888888888886,52.77777777777778,33.33333333333333,2011,22.0
Janakpur,Mahottari,Urban,119000,59500,59500,83,90,76,100,0,6000,0,16000,10500,100.0,58.830409356725134,100.0,65.0877192982456,2021,33.0
Narayani,Parsa,Rural,154000,77000,77000,52,58,46,60,100000,38000,30000,8000,4000,38.0,30.0,8.0,4.0,2001,0.0
Narayani,Parsa,Rural,210000,105000,105000,61,67,55,79,42000,23000,20000,8500,6000,54.76190476190476,47.61904761904761,20.23809523809524,14.285714285714285,2011,5.0
Narayani,Parsa,Rural,266000,133000,133000,70,76,62,98,0,8000,10000,9000,8000,71.52380952380952,65.23809523809523,32.47619047619048,24.57142857142857,2021,10.5
Narayani,Parsa,Urban,96000,48000,48000,52,58,46,60,100000,38000,30000,8000,4000,38.0,30.0,8.0,4.0,2001,0.0
Narayani,Parsa,Urban,130000,65000,65000,68,74,62,85,26000,22000,9500,14000,10500,84.61538461538461,36.53846153846154,53.84615384615385,40.38461538461539,2011,28.0
Narayani,Parsa,Urban,164000,82000,82000,84,90,76,100,0,6000,0,20000,17000,100.0,43.07692307692308,99.6923076923077,76.76923076923077,2021,45.0
Narayani,Rautahat,Rural,142000,71000,71000,48,53,43,56,95000,28000,22000,5000,2500,29.47368421052631,23.157894736842103,5.263157894736842,2.631578947368421,2001,0.0
Narayani,Rautahat,Rural,190000,95000,95000,57,63,51,75,38000,20000,18000,7500,5000,52.63157894736842,47.368421052631575,19.73684210526316,13.157894736842104,2011,6.0
Narayani,Rautahat,Rural,238000,119000,119000,66,73,59,94,0,12000,14000,10000,7500,75.78947368421052,71.57894736842104,34.21052631578948,23.684210526315788,2021,9.0
Narayani,Rautahat,Urban,71000,35500,35500,48,53,43,56,95000,28000,22000,5000,2500,29.47368421052631,23.157894736842103,5.263157894736842,2.631578947368421,2001,0.0
Narayani,Rautahat,Urban,95000,47500,47500,64,70,58,81,19000,15000,7000,9500,6000,78.94736842105263,36.8421052631579,50.0,31.57894736842105,2011,18.0
Narayani,Rautahat,Urban,119000,59500,59500,80,87,73,100,0,2000,0,14000,9500,100.0,50.52631578947369,94.73684210526316,60.526315789473685,2021,27.0
Sagarmatha,Saptari,Rural,126000,63000,63000,46,51,41,54,90000,22000,17000,2500,1200,24.444444444444443,18.88888888888889,2.7777777777777777,1.3333333333333337,2001,0.0
Sagarmatha,Saptari,Rural,230000,115000,115000,56,62,50,74,46000,21000,21000,8000,5000,45.65217391304348,45.65217391304348,17.391304347826086,10.869565217391305,2011,5.0
Sagarmatha,Saptari,Rural,334000,167000,167000,66,73,59,94,2000,20000,25000,13500,8800,66.85990338164251,72.41545893719807,32.00483091787439,20.405797101449277,2021,7.5
Sagarmatha,Saptari,Urban,56000,28000,28000,46,51,41,54,90000,22000,17000,2500,1200,24.444444444444443,18.88888888888889,2.7777777777777777,1.3333333333333337,2001,0.0
Sagarmatha,Saptari,Urban,95000,47500,47500,64,70,58,81,19000,15000,7000,9500,6500,78.94736842105263,36.8421052631579,50.0,34.21052631578947,2011,20.0
Sagarmatha,Saptari,Urban,134000,67000,67000,82,89,75,100,0,8000,0,16500,11800,100.0,54.79532163742691,97.22222222222224,67.08771929824562,2021,30.0
Janakpur,Sarlahi,Rural,136000,68000,68000,47,52,42,55,100000,26000,20000,4000,2000,26.0,20.0,4.0,2.0,2001,0.0
Janakpur,Sarlahi,Rural,240000,120000,120000,58,64,52,76,48000,25000,24000,9500,6500,52.083333333333336,50.0,19.791666666666668,13.541666666666666,2011,5.0
Janakpur,Sarlahi,Rural,344000,172000,172000,69,76,62,97,0,24000,28000,15000,11000,78.16666666666667,80.0,35.583333333333336,25.08333333333333,2021,7.5
Janakpur,Sarlahi,Urban,66000,33000,33000,47,52,42,55,100000,26000,20000,4000,2000,26.0,20.0,4.0,2.0,2001,0.0
Janakpur,Sarlahi,Urban,100000,50000,50000,65,71,59,81,20000,16000,8000,11000,7000,80.0,40.0,55.0,35.0,2011,20.0
Janakpur,Sarlahi,Urban,134000,67000,67000,83,90,76,100,0,6000,0,18000,12000,100.0,60.0,100.0,68.0,2021,30.0
Sagarmatha,Siraha,Rural,121000,60500,60500,44,49,39,52,85000,20000,15000,2000,1000,23.52941176470588,17.647058823529413,2.3529411764705883,1.1764705882352942,2001,0.0
Sagarmatha,Siraha,Rural,200000,100000,100000,55,61,49,73,40000,19000,18000,7000,4000,47.5,45.0,17.5,10.0,2011,8.0
Sagarmatha,Siraha,Rural,279000,139500,139500,66,73,59,94,0,18000,21000,12000,7000,71.47058823529412,72.35294117647058,32.64705882352941,18.823529411764707,2021,11.1
Sagarmatha,Siraha,Urban,51000,25500,25500,44,49,39,52,85000,20000,15000,2000,1000,23.52941176470588,17.647058823529413,2.3529411764705883,1.1764705882352942,2001,0.0
Sagarmatha,Siraha,Urban,80000,40000,40000,63,69,57,80,16000,12500,6000,8500,5000,78.125,37.5,53.125,31.25,2011,18.0
Sagarmatha,Siraha,Urban,109000,54500,54500,82,89,75,100,0,5000,0,15000,9000,100.0,57.35294117647059,100.0,61.32352941176471,2021,22.5
